date,destination,pax,agency
2023-01-22,Tokyo,8,Alice
2019-05-31,New York,5,Grace
2019-03-24,London,5,Heidi
2020-06-01,New York,2,Frank
2021-05-01,Paris,7,Bob
2021-06-12,Paris,6,Frank
2018-01-20,Paris,7,Heidi
2023-04-11,Sydney,9,Charlie
2020-02-16,New York,2,Ivan
2022-04-28,Tokyo,3,Grace
2020-02-08,New York,8,Heidi
2018-12-14,Paris,1,Bob
2023-10-25,Tokyo,9,Eve
2024-01-04,Sydney,6,Eve
2021-04-16,Sydney,8,Ivan
2019-07-05,Paris,9,David
2020-01-17,Sydney,4,Alice
2022-08-04,London,10,Frank
2018-02-22,London,9,Eve
2018-07-05,Tokyo,9,Eve
2024-01-06,Paris,8,Eve
2023-08-23,Tokyo,1,Grace
2019-09-27,Tokyo,7,Eve
2024-05-11,London,6,Grace
2020-02-06,Tokyo,7,Eve
2022-05-12,New York,9,Charlie
2022-11-22,Tokyo,6,Charlie
2020-07-14,London,8,Judy
2022-02-07,Paris,10,Bob
2019-04-02,Sydney,1,Heidi
2023-04-11,London,7,Judy
2024-09-05,Sydney,3,Eve
2019-12-20,Paris,1,Charlie
2022-06-06,Paris,7,Eve
2020-01-30,Sydney,6,Ivan
2020-12-31,Tokyo,1,Frank
2018-10-08,Tokyo,8,Heidi
2023-08-24,Sydney,1,Eve
2023-04-20,New York,10,Alice
2019-09-16,Tokyo,6,Bob
2024-02-28,London,6,Eve
2019-05-08,London,7,Bob
2018-08-08,Paris,10,Bob
2023-08-31,Sydney,9,David
2021-08-15,London,6,Bob
2022-05-22,Tokyo,7,Bob
2024-08-10,Tokyo,4,Ivan
2021-08-03,London,10,Heidi
2022-08-11,London,4,Eve
2019-05-28,Sydney,7,Grace
2020-01-20,Sydney,5,Heidi
2021-10-13,London,8,Frank
2019-05-05,London,6,Heidi
2020-04-16,Tokyo,7,Judy
2022-06-18,Sydney,6,Ivan
2020-10-19,New York,9,Ivan
2021-01-31,London,10,Eve
2018-11-22,Tokyo,3,David
2024-06-02,Paris,3,Judy
2020-03-16,New York,5,David
2020-05-21,Paris,8,Eve
2022-03-31,Sydney,3,David
2020-04-04,London,8,David
2021-12-26,Tokyo,3,Alice
2024-05-19,London,8,Judy
2021-06-22,New York,7,Heidi
2022-05-04,New York,5,Heidi
2020-06-19,Paris,5,Bob
2019-12-08,Paris,6,Grace
2022-09-20,London,3,Frank
2022-10-11,Paris,9,Eve
2023-04-22,Sydney,7,Eve
2023-05-13,Sydney,6,Grace
2020-09-01,Sydney,2,Eve
2019-11-11,New York,2,Eve
2018-08-07,New York,3,Bob
2020-11-09,Sydney,7,Grace
2022-03-03,Tokyo,4,Bob
2020-08-13,Paris,5,Charlie
2022-11-26,Paris,1,David
2020-10-22,New York,7,Grace
2024-04-01,Tokyo,2,Eve
2020-03-11,Tokyo,3,Ivan
2020-03-13,Tokyo,8,Bob
2019-06-10,Paris,5,Judy
2018-04-02,London,7,Frank
2021-12-20,Sydney,2,Eve
2020-10-23,Sydney,4,Frank
2018-11-08,Sydney,7,Eve
2022-12-22,Paris,9,Frank
2023-06-07,Paris,6,Ivan
2022-01-01,Paris,2,Alice
2019-10-26,Sydney,3,Grace
2019-03-14,London,8,Judy
2019-03-09,London,4,Grace
2024-05-26,London,9,Alice
2023-02-26,Paris,6,David
2020-05-08,London,1,Bob
2019-11-05,London,8,Heidi
2018-04-04,Tokyo,8,Heidi
2019-02-25,Sydney,8,Frank
2021-07-09,London,3,Frank
2018-03-05,Paris,8,David
2024-09-16,New York,10,Bob
2018-10-25,Paris,10,Heidi
2019-01-06,Tokyo,9,Judy
2024-08-13,Sydney,8,David
2019-01-24,Sydney,6,Frank
2018-11-06,Paris,8,Charlie
2018-03-27,New York,2,Alice
2022-11-07,Sydney,5,Frank
2024-03-23,London,8,Charlie
2020-10-10,Paris,4,Charlie
2020-06-16,New York,5,Judy
2023-02-14,Tokyo,10,Frank
2022-09-05,Paris,6,Judy
2020-09-26,Tokyo,10,Frank
2022-04-10,Paris,1,Ivan
2024-01-26,Paris,6,Bob
2019-02-20,Tokyo,5,David
2018-01-25,Paris,4,Bob
2023-10-26,Paris,4,Judy
2019-06-26,Sydney,10,Grace
2018-08-13,Sydney,6,David
2023-08-23,Sydney,6,Judy
2019-01-12,Paris,10,Charlie
2020-05-10,Tokyo,8,Grace
2021-10-09,Paris,7,Frank
2021-03-05,Sydney,6,Heidi
2021-01-01,Sydney,2,Bob
2018-04-11,London,3,Alice
2020-05-16,London,10,Heidi
2018-02-09,Sydney,2,Ivan
2024-07-10,Sydney,10,Alice
2023-09-14,Paris,4,Alice
2018-04-05,Tokyo,3,Frank
2020-12-23,London,6,Bob
2020-12-04,Paris,9,Judy
2020-07-14,Paris,3,Alice
2023-04-01,London,6,Ivan
2018-02-09,Sydney,2,Alice
2021-03-07,New York,10,Alice
2021-06-28,Tokyo,6,David
2023-01-11,New York,2,Grace
2022-02-09,New York,8,Eve
2022-01-08,London,8,Alice
2019-09-08,New York,6,Judy
2019-12-04,Sydney,9,Alice
2018-10-23,Sydney,10,Grace
2020-02-18,London,9,Eve
2023-09-14,Sydney,9,David
2022-09-10,New York,5,Judy
2021-10-19,Tokyo,9,Heidi
2018-11-26,Tokyo,1,Bob
2018-01-05,Sydney,6,Bob
2021-03-06,Paris,5,Eve
2023-07-12,Paris,4,Judy
2021-06-30,Tokyo,5,Alice
2023-05-23,Tokyo,1,David
2019-08-18,Sydney,10,Charlie
2019-11-24,Tokyo,9,Heidi
2024-06-01,Tokyo,2,Grace
2018-10-05,Tokyo,1,Judy
2022-10-04,Sydney,7,Ivan
2020-01-09,Tokyo,4,Bob
2020-10-19,Tokyo,7,Bob
2019-07-24,Tokyo,5,Charlie
2018-02-18,Paris,7,Eve
2024-08-16,Paris,1,Charlie
2020-10-09,Sydney,9,Ivan
2018-05-24,New York,3,Frank
2019-10-13,Paris,7,Alice
2018-05-17,Tokyo,2,Charlie
2023-01-13,London,6,David
2019-11-15,Sydney,3,Judy
2022-03-04,Tokyo,5,Frank
2022-10-10,New York,8,Charlie
2018-06-27,Paris,9,Frank
2019-11-11,Paris,8,David
2021-05-28,London,4,Charlie
2021-05-14,Paris,9,Charlie
2022-10-15,Tokyo,4,David
2018-10-23,Sydney,8,Grace
2018-09-29,Sydney,3,Alice
2018-09-15,Paris,1,Grace
2024-08-16,London,3,Alice
2018-12-18,Sydney,8,Heidi
